"http://68.181.172.237:80/SnapshotJPEG?Resolution=640x480&Quality=Clarity","Los Angeles, CA, US"
"http://129.132.38.226:80/mjpg/video.mjpg","Zurich, 25, CH"
"http://31.209.99.227:80/oneshotimage1",""
"http://59.19.8.220:80/oneshotimage1",""
"http://194.151.35.184:83/IMAGE.JPG",""
"http://108.35.250.181:8888/SnapshotJPEG?Resolution=640x480&Quality=Clarity","Manasquan, NJ, US"
"http://78.87.60.227:80/IMAGE.JPG","Athens, GR"
"http://199.187.150.234:80/oneshotimage1","San Luis Obispo, CA, US"
"http://50.247.132.225:80/oneshotimage1",""
"http://79.131.18.226:1024/img/video.mjpeg",""
"http://90.227.234.225:80/img/video.mjpeg","Oskarshamn, Kalmar L&auml;n, SE"
"http://76.101.59.230:1024/img/video.mjpeg","Cape Coral, FL, US"
"http://68.181.172.237:80/SnapshotJPEG?Resolution=640x480&Quality=Clarity","Los Angeles, CA, US"
"http://81.8.160.235:80/mjpg/video.mjpg","Vilhelmina, SE"
"http://173.198.63.229:80/oneshotimage1","Sun Valley, CA, US"
"http://96.89.4.233:80/oneshotimage1",""
"http://141.211.175.226:80/mjpg/video.mjpg","Ann Arbor, MI, US"
"http://184.178.184.228:8090/oneshotimage1","Oklahoma City, OK, US"
"http://199.187.150.234:80/oneshotimage1","San Luis Obispo, CA, US"
"http://121.101.90.232:80/oneshotimage1","Tokyo, Tōkyō, JP"
"http://79.131.18.226:1024/img/video.mjpeg",""
"http://90.227.234.225:80/img/video.mjpeg","Oskarshamn, Kalmar L&auml;n, SE"
"http://195.204.228.224:8080/IMAGE.JPG","Gratangen, Troms, NO"
"http://76.101.59.230:1024/img/video.mjpeg","Cape Coral, FL, US"
"http://70.88.60.222:8001/mjpg/video.mjpg","Naples, FL, US"
"http://77.211.19.217:81/mjpg/video.mjpg","Madrid, ES"
"http://122.249.164.213:80/mjpg/video.mjpg","Tokyo, Tōkyō, JP"
"http://23.25.165.213:8080/oneshotimage1",""
"http://166.159.23.226:80/mjpg/video.mjpg",""
"http://217.172.90.236:81/mjpg/video.mjpg",""
"http://71.107.23.229:8082/oneshotimage1","Yucaipa, CA, US"
"http://195.204.228.224:8080/IMAGE.JPG","Gratangen, Troms, NO"
"http://209.240.50.223:8082/oneshotimage1","Morgan City, LA, US"
